위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.470116,126.900616,노외,16,민영,제일주차장
37.474335,126.903568,노외,31,민영,길목주차장
37.459281,126.899314,노외,20,민영,현대주차장
37.485421,126.879957,노외,160,공영,가산디지털서측
37.459348,126.909351,노외,124,공영,시흥4동
37.460732,126.910947,노외,69,공영,효봉
37.454545,126.909003,노외,51,공영,삼성
37.442939,126.90571,노외,44,공영,시흥3동
37.450686,126.896706,노외,84,공영,시흥1동
37.46943,126.904506,노외,63,공영,독산4동
37.477885,126.902767,노외,21,공영,구룡
37.476312,126.901875,노외,45,공영,다목적
37.47945,126.906335,노외,50,공영,독산3동
37.463825,126.900034,노외,66,공영,독산2동
37.464941,126.894882,노외,66,공영,독산1동
37.476627,126.895561,노외,130,공영,가산동
37.479493,126.884602,노상,37,공영,SJ테크노빌
37.48295,126.882574,노상,41,공영,가산디지털환승
37.474385,126.888308,노상,30,공영,LG전자
37.471619,126.889011,노상,21,공영,모아래5길
37.471477,126.891326,노상,25,공영,사조산업
37.467728,126.890032,노상,36,공영,범일운수
37.469181,126.894829,노상,19,공영,가산중앞
37.56666889,127.0550138,노상,10,공영,삼희상가
37.5700305,127.0504071,노상,22,공영,신답고가
37.57303077,127.0275891,노상,23,공영,용두동청계주변
37.56472665,127.0586628,노상,79,공영,답십리부품상가
37.5637529,127.0667254,노상,9,공영,동대문소방서
37.57913563,127.0409546,노상,48,공영,청량리시장제1
37.5807432,127.0403784,노상,45,공영,청량리시장제2
37.58242616,127.040656,노상,67,공영,청량리시장제3
37.58325164,127.0401598,노상,49,공영,청량리시장제4
37.58829448,127.055742,노상,70,공영,회기역 주변
37.58350827,127.086969,노외,90,공영,까치공원
37.5920416,127.0997947,노외,80,공영,면일초교
37.57489173,127.083439,노외,140,공영,중곡초교
37.58793511,127.0808933,노외,199,공영,면목2동
37.60643693,127.0916532,노외,31,공영,봉수대
37.57335201,127.0891221,노외,119,공영,용마폭포
37.5898196,127.0964022,노외,72,공영,늘봄
37.58705596,127.0915758,노외,97,공영,은행나무
37.59677182,127.0982722,노외,96,공영,망우본동
37.57764604,127.0842468,노외,25,공영,면목시장
37.5898756,127.0931343,노외,31,공영,동원시장
37.59671524,127.0987493,노상,44,공영,우림시장
37.56226142,127.0687101,노외,77,공영,덕원공영주차장
37.58060041,127.0375862,노외,196,공영,서울약령시
37.59003508,127.0695883,노외,40,공영,견인보관소노외
37.59003508,127.0695883,노외,55,공영,휘경유수지
37.59503764,127.0626233,노외,84,공영,외대주차빌딩
37.58347508,127.0406728,노상,20,공영,제기동공영주차장
