ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
신정1동,양천구,8,0.062,0.648,1.0,0.806,0.886,0.938,0.968,100.0
신정2동,양천구,7,0.056,0.435,1.0,0.622,0.807,0.857,0.949,100.0
신정3동,양천구,38,0.136,0.558,1.0,0.826,0.925,0.789,0.92,92.105
신정4동,양천구,13,0.173,0.546,1.0,0.91,0.672,0.923,0.963,100.0
신정6동,양천구,15,0.052,0.512,1.0,0.704,0.948,0.833,0.949,100.0
신정7동,양천구,17,0.084,0.689,1.0,0.799,0.915,0.971,0.969,100.0
신촌동,서대문구,36,0.426,0.367,1.0,0.626,0.816,0.792,0.926,97.222
쌍문1동,도봉구,15,0.054,0.479,1.0,0.715,0.776,0.933,0.952,100.0
쌍문2동,도봉구,8,0.056,0.464,1.0,0.757,0.706,0.938,0.966,100.0
쌍문3동,도봉구,8,0.063,0.515,1.0,0.815,0.658,1.0,0.979,100.0
쌍문4동,도봉구,7,0.033,0.394,1.0,0.622,0.898,0.786,0.942,100.0
아현동,마포구,11,0.101,0.354,1.0,0.583,0.823,0.773,0.935,100.0
안암동,성북구,19,0.159,0.287,1.0,0.517,0.769,0.842,0.923,89.474
암사1동,강동구,11,0.127,0.473,1.0,0.844,0.647,0.909,0.96,100.0
암사2동,강동구,29,0.062,0.844,1.0,0.922,0.965,0.966,0.973,100.0
암사3동,강동구,23,0.04,0.78,1.0,0.932,0.96,0.913,0.951,100.0
압구정동,강남구,31,0.312,0.605,1.0,0.704,0.925,0.968,0.971,100.0
약수동,중구,6,0.054,0.409,1.0,0.819,0.824,0.667,0.892,100.0
양재1동,서초구,80,0.303,0.087,0.162,0.922,0.927,0.669,0.897,11.25
양재2동,서초구,104,0.241,0.0,0.0,0.905,0.962,0.702,0.903,0.0
양평1동,영등포구,13,0.08,0.505,1.0,0.581,0.867,1.0,0.982,100.0
양평2동,영등포구,38,0.128,0.677,1.0,0.789,0.939,0.934,0.971,100.0
여의동,영등포구,116,0.876,0.698,1.0,0.783,0.989,0.918,0.966,100.0
역삼1동,강남구,32,1.0,0.269,0.562,0.706,0.79,0.922,0.952,56.25
역삼2동,강남구,18,0.245,0.0,0.0,0.685,0.85,0.944,0.966,0.0
역촌동,은평구,16,0.164,0.416,1.0,0.878,0.637,0.812,0.933,100.0
연남동,마포구,10,0.123,0.506,1.0,0.953,0.622,0.9,0.956,100.0
연희동,서대문구,42,0.21,0.409,1.0,0.872,0.805,0.667,0.898,95.238
염리동,마포구,7,0.08,0.292,1.0,0.667,0.691,0.714,0.914,100.0
염창동,강서구,25,0.13,0.627,1.0,0.717,0.927,0.94,0.963,100.0
영등포동,영등포구,19,0.339,0.453,1.0,0.689,0.744,0.895,0.954,100.0
영등포본동,영등포구,13,0.097,0.55,1.0,0.815,0.705,1.0,0.975,100.0
오금동,송파구,23,0.14,0.0,0.0,0.77,0.868,1.0,0.974,0.0
오류1동,구로구,9,0.086,0.49,1.0,0.741,0.771,0.889,0.943,100.0
오류2동,구로구,44,0.176,0.61,1.0,0.844,0.917,0.841,0.932,95.455
오륜동,송파구,41,0.057,0.0,0.0,0.765,0.981,0.976,0.971,0.0
옥수동,성동구,27,0.087,0.737,1.0,0.862,0.955,0.889,0.955,96.296
왕십리2동,성동구,5,0.048,0.331,1.0,0.782,0.583,0.8,0.942,100.0
왕십리도선동,성동구,9,0.121,0.53,1.0,0.87,0.651,0.944,0.954,100.0
용강동,마포구,12,0.142,0.598,1.0,0.793,0.876,0.875,0.941,100.0
용답동,성동구,35,0.083,0.554,1.0,0.811,0.879,0.814,0.944,100.0
용문동,용산구,4,0.027,0.406,1.0,0.922,0.617,0.75,0.937,100.0
용산2가동,용산구,29,0.051,0.415,1.0,0.665,0.857,0.793,0.934,86.207
용신동,동대문구,23,0.196,0.371,1.0,0.777,0.61,0.826,0.936,100.0
우이동,강북구,147,0.068,0.427,1.0,0.979,0.961,0.503,0.847,65.986
우장산동,강서구,18,0.111,0.493,1.0,0.801,0.828,0.778,0.928,94.444
원효로1동,용산구,6,0.108,0.329,1.0,0.598,0.667,0.833,0.953,100.0
원효로2동,용산구,13,0.047,0.419,1.0,0.623,0.799,0.846,0.934,100.0
월계1동,노원구,16,0.093,0.47,1.0,0.723,0.83,0.844,0.935,93.75
월계2동,노원구,28,0.049,0.533,1.0,0.792,0.958,0.786,0.917,89.286
