h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1db36bffff,37.52957902929025,126.90788006488881,11560560,당산2동,영등포구,0.1360095297037331,0.348585448698966,0.22103989730182627,1.0,0.7666666666666667,0.8931372549019608,1.0,0.9847648166706228,0.674306444565345,Green,1.0726276636123657,3,112,매우 높음,높음
8930e1d9033ffff,37.50898595430012,126.92451290119482,11590660,대방동,동작구,0.06533677341590412,0.3199164826470138,0.16716865710834797,1.0,0.4555555555555556,0.8990196078431373,1.0,0.9351920337903893,0.3830110554947415,Green,4.562781810760498,7,110,높음,보통
8930e036a17ffff,37.445853517150695,126.95074027473798,11620735,대학동,관악구,0.1035328312312139,0.3064577064441546,0.18470278131639017,1.0,1.0,0.9941176470588236,1.0,0.9324462424936005,0.9269612645965793,Green,4.75609827041626,0,6,높음,최적
8930e1d8eabffff,37.55333986077081,126.98048992528152,11140540,회현동,중구,0.20456408321782565,0.22051737295128687,0.21094539911121013,1.0,0.6888888888888889,0.9186274509803921,0.0,0.7,0.0,Red,22.900815963745117,4,87,매우 높음,부적합
8930e03688fffff,37.46733941720587,126.94988177715544,11620735,대학동,관악구,0.1035328312312139,0.3064577064441546,0.18470278131639017,1.0,0.6888888888888889,0.9794117647058823,1.0,0.9434332918863052,0.6365399916432894,Green,3.9825589656829834,4,25,높음,높음
8930e1c1653ffff,37.54751889601037,127.02718098777513,11200620,금호4가동,성동구,0.017704208725477906,0.06267267545390398,0.03569159541684834,1.0,0.9222222222222223,0.8666666666666667,1.0,0.972115103799992,0.7769719977779196,Green,1.9632261991500854,1,137,매우 낮음,높음
8930e1d1033ffff,37.64728885907924,126.93578654551156,11380690,진관동,은평구,0.03480133083679544,0.40961785584165966,0.1847279408387411,1.0,1.0,0.9852941176470589,1.0,0.9606617617958988,0.9465343829459592,Green,2.769594669342041,0,15,높음,최적
8930e1d8d23ffff,37.57726165607689,127.00605006604258,11110640,이화동,종로구,0.09283815311545054,0.23606071969047854,0.15012717974546175,1.0,0.8444444444444444,0.5014044943820224,1.0,0.9672218497152583,0.40952970078767764,Green,2.3077340126037598,2,712,높음,보통
8930e1c14cbffff,37.56902720001437,127.0263448239949,11200535,왕십리도선동,성동구,0.055556855376514835,0.22005625664124767,0.12135661588240798,1.0,1.0,0.888235294117647,1.0,0.9711045144510304,0.8625693040123857,Green,2.034376382827759,0,114,보통,최적
8930e1c91bbffff,37.43498717354817,127.05974083311004,11650652,양재2동,서초구,0.19450784659640138,0.31147948202761144,0.24129650076888542,0.0,1.0,0.9950980392156863,1.0,0.9472908193441392,0.0,Green,3.7109711170196533,0,5,매우 높음,부적합
8930e1d8b9bffff,37.550108865686305,127.00642545699988,11140625,다산동,중구,0.04278924634353118,0.10158867773563598,0.0663090189003731,1.0,0.7666666666666667,0.5450980392156863,0.5,0.8674555323709282,0.18125851875750706,Yellow,9.331746101379395,3,467,낮음,낮음
