admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
11130620,3,241559624.41613352,14618.629150155788,0.163938351507422
11130620,4,188249264.80602893,12981.98623108968,0.1277584125218707
11130620,5,667182098.7527239,32554.776757823343,0.4527939372697519
11130620,6,280012925.12304443,7621.8782674375925,0.1900353068373837
11130640,1,108268802.6173996,3250.8159989501582,0.03875203864752829
11130640,2,203263298.22080094,26069.7603149117,0.07275287984953364
11130640,3,671425049.4854325,58495.13509083167,0.2403193610492245
11130640,4,406341669.9001268,35560.358479384595,0.14543956999059215
11130640,5,993219589.3055631,63893.39769274267,0.3554974561440827
11130640,6,411368219.3049841,15534.180217297164,0.1472386943190387
11130650,1,76168002.39054382,1616.4195474613684,0.12150865026175932
11130650,2,14207543.177396152,1538.0558542586461,0.022664889991067916
11130650,3,136199639.05032822,9199.527517672876,0.21727541471139836
11130650,4,66937789.16851079,4650.913246294585,0.10678395334130132
11130650,5,217691695.72438973,11191.429126666442,0.34727737751394827
11130650,6,115647840.38388263,4212.700882853715,0.18448971418052482
11130660,1,60241630.813297495,959.4055128221393,0.05054940015280407
11130660,2,23217386.901185293,1972.5907718414799,0.019481958989586746
11130660,3,279249730.49303806,18672.78707116201,0.23432145143951488
11130660,4,143854168.05973235,10285.096728688504,0.12070957918514719
11130660,5,451450318.4261625,18472.402374179022,0.37881681633023767
11130660,6,233724563.00932887,4642.698588456942,0.1961207939027095
11130680,1,189124229.75094187,6223.102521461859,0.09395306799366843
11130680,2,100445247.61089575,10346.510021766535,0.04989915459724616
11130680,3,532453100.1360529,40103.24017120283,0.26451186284486633
11130680,4,273712635.0798754,22940.037163511046,0.1359748660880276
11130680,5,615974435.1706672,36412.00363440539,0.3060035621356601
11130680,6,301255269.62592137,11013.410524407354,0.14965748634053141
11130690,1,90805487.0345824,1131.5225367917585,0.11127300295467735
11130690,2,44098441.72715411,4370.317848620655,0.054038210650569116
11130690,3,150553033.27313757,13379.348353581776,0.18448761923227666
11130690,4,84627318.04482424,7465.786411103788,0.10370227745446566
11130690,5,265439299.97975647,11961.20598302836,0.3252691987620345
11130690,6,180536781.6040875,3565.0461082818074,0.22122969094597678
11130700,1,217569387.43740582,4365.910839082766,0.07167109474015422
11130700,2,56504198.88946942,5646.464111485327,0.01861345403194084
11130700,3,579571387.5885509,34549.906372642305,0.1909207739093911
11130700,4,353401194.11566174,24382.18344926707,0.11641642587257003
11130700,5,1207870509.3858922,57100.20881545412,0.3978933007610752
11130700,6,620747675.5025668,20020.086379472712,0.2044849506848685
11130710,1,2408382.830034722,63.520173611111105,0.024491616784597346
11130710,2,368785.8445405629,15.85247930463576,0.003750301433572892
11130710,3,17475461.423487168,634.808056705298,0.17771356736997299
11130710,4,10355598.119657608,367.86550680647537,0.10530939581490639
11130710,5,44367280.59451113,995.4560269499632,0.4511850942234972
11130710,6,23359478.67415402,485.8824151490066,0.23755002437345318
11130720,1,222303149.0750635,6392.935137455134,0.08538758283745086
11130720,2,39401057.7001064,3041.575977910232,0.015134113449355576
11130720,3,360224271.0763666,20480.48341737338,0.1383636710256747
11130720,4,212896866.23282376,13512.912354492963,0.08177458968496505
11130720,5,1022641657.0287416,43081.673266329504,0.39280099974240434
11130720,6,745992912.938496,23253.59322111131,0.28653904326014956
11130730,1,162736997.79473546,2682.308795847364,0.04125536049539018
11130730,2,154774601.36523923,13776.654046296162,0.03923681806461233
11130730,3,1360818585.7098174,63082.55378962059,0.34498031844668636
11130730,4,232308648.9323653,10734.027219927784,0.05889242881320876
11130730,5,1122543111.7219656,30470.734142095615,0.28457524332678147
11130730,6,911444785.1747762,15572.025922919736,0.23105983085332102
11130740,1,53116463.10452171,1220.915707014962,0.05944906497077994
11130740,2,10359005.022065805,166.0043912174958,0.011594016743501903
11130740,3,109769765.00062083,4230.186087002081,0.12285663445828403
11130740,4,72324181.06247179,3719.7987039495106,0.0809467477245359
11130740,5,372007063.20005417,14648.155976038117,0.41635814542565824
11130740,6,275902051.34119195,9165.81944680472,0.30879539067723993
11130750,1,1878323512.013419,40312.828251612904,0.09939748852462246
11130750,2,325042725.7268001,32182.337061750677,0.01720067410848169
11130750,3,3678851576.353786,222904.53147847927,0.1946781824353814
11130750,4,1946421748.4920254,132939.87817700006,0.10300112423254887
11130750,5,6698741105.971423,317165.9200840219,0.35448528326011525
11130750,6,4369711601.013585,133703.8822143145,0.2312372474388504
11130760,1,300022327.0783779,5204.149186507821,0.03886905975609162
11130760,2,408374172.94881594,35217.12215575691,0.05290646294815692
11130760,3,2142903275.8472161,106143.52016990553,0.27762145668135735
11130760,4,1055345412.7709568,55111.14834923571,0.13672410420840225
11130760,5,2851539516.715245,120800.82767155173,0.3694280387442847
11130760,6,960610885.8128533,27248.37707242456,0.12445087766170715
11140590,1,367392530.3721071,3905.3837510417297,0.0488042056196188
11140590,2,113673508.97864209,9754.890244804772,0.015100321446596355
11140590,3,1781440811.5637693,92438.05941544134,0.23664553979549147
11140590,4,635346393.7304044,32906.739897633845,0.08439903774825377
11140590,5,2763456115.444008,73188.10291785368,0.3670958697563159
11140590,6,1866577339.5855541,20884.02804334131,0.24795502563372362
11140600,1,138869737.35468495,4185.087676544393,0.04695839149731181
11140600,2,103255178.10255457,11063.95670258459,0.034915433483397734
11140600,3,737791906.3381628,56326.75178734165,0.2494821538611245
11140600,4,364216950.62133783,33629.67863439544,0.1231588860397371
11140600,5,1000184730.6881465,69606.30141852736,0.3382095123671872
11140600,6,612974813.9508034,28757.874639378544,0.2072756227512417
11140610,1,98680910.5734257,1692.8537086224237,0.040545066815705334
11140610,2,23675362.576366466,2570.0873765647425,0.009727506079613838
11140610,3,527178981.61475986,29569.96944025098,0.2166022476809409
11140610,4,238005375.90590146,17434.244226761126,0.09778936789827844
11140610,5,972776005.1790138,42409.67208658906,0.3996848822888688
11140610,6,573540756.0244349,15112.962137207396,0.23565092923659267
11140630,1,84006056.90464868,2762.279587069696,0.056899685223135016
11140630,2,30863283.33561177,2735.836569781222,0.02090457725854241
11140630,3,346491692.363327,22188.610318568284,0.23468865167999156
11140630,4,157050176.24296823,15290.931655831697,0.10637453919073625
11140630,5,533473081.8313066,25569.259372854776,0.36133645060463915
11140630,6,324504490.300708,10345.308778481416,0.21979609604295564
11140660,1,9895854071.888004,265373.1029496067,0.19672297310122272
11140660,2,690575358.3089175,53866.72239165791,0.013728177138636156
11140660,3,6096482273.575424,354545.651538524,0.12119399797170255
11140660,4,4412095873.919156,264169.0954710475,0.08770952073663894
