h3_index,상권업종대분류명,store_count
8930e036233ffff,시설관리·임대,9
8930e036233ffff,음식,2
8930e036237ffff,과학·기술,17
8930e036237ffff,교육,3
8930e036237ffff,보건의료,3
8930e036237ffff,부동산,5
8930e036237ffff,소매,30
8930e036237ffff,수리·개인,16
8930e036237ffff,시설관리·임대,3
8930e036237ffff,예술·스포츠,8
8930e036237ffff,음식,39
8930e036267ffff,과학·기술,3
8930e036267ffff,보건의료,3
8930e036267ffff,부동산,1
8930e036267ffff,소매,5
8930e036267ffff,수리·개인,3
8930e036267ffff,예술·스포츠,2
8930e036267ffff,음식,27
8930e0362a3ffff,음식,1
8930e0362a7ffff,과학·기술,10
8930e0362a7ffff,교육,19
8930e0362a7ffff,보건의료,2
8930e0362a7ffff,부동산,8
8930e0362a7ffff,소매,25
8930e0362a7ffff,수리·개인,13
8930e0362a7ffff,시설관리·임대,3
8930e0362a7ffff,예술·스포츠,6
8930e0362a7ffff,음식,17
8930e0362afffff,과학·기술,2
8930e0362afffff,부동산,1
8930e0362afffff,소매,8
8930e0362afffff,수리·개인,2
8930e0362afffff,시설관리·임대,5
8930e0362afffff,예술·스포츠,1
8930e0362afffff,음식,13
8930e0362b7ffff,과학·기술,2
8930e0362b7ffff,교육,6
8930e0362b7ffff,부동산,4
8930e0362b7ffff,소매,6
8930e0362b7ffff,수리·개인,2
8930e0362b7ffff,시설관리·임대,3
8930e0362b7ffff,음식,4
8930e036307ffff,과학·기술,1
8930e036307ffff,교육,1
8930e036307ffff,소매,1
8930e036307ffff,수리·개인,1
8930e036313ffff,과학·기술,3
8930e036313ffff,교육,7
8930e036313ffff,보건의료,1
8930e036313ffff,부동산,4
8930e036313ffff,소매,8
8930e036313ffff,수리·개인,13
8930e036313ffff,예술·스포츠,2
8930e036313ffff,음식,11
8930e036317ffff,과학·기술,8
8930e036317ffff,교육,30
8930e036317ffff,보건의료,6
8930e036317ffff,부동산,3
8930e036317ffff,소매,31
8930e036317ffff,수리·개인,19
8930e036317ffff,시설관리·임대,16
8930e036317ffff,예술·스포츠,3
8930e036317ffff,음식,21
8930e03631bffff,음식,2
8930e036333ffff,과학·기술,1
8930e036333ffff,교육,10
8930e036333ffff,보건의료,1
8930e036333ffff,부동산,5
8930e036333ffff,소매,2
8930e036333ffff,수리·개인,5
8930e036333ffff,음식,3
8930e03633bffff,과학·기술,1
8930e03633bffff,음식,1
8930e036353ffff,과학·기술,2
8930e036353ffff,교육,1
8930e03635bffff,과학·기술,1
8930e036383ffff,과학·기술,4
8930e036383ffff,교육,2
8930e036383ffff,부동산,1
8930e036383ffff,소매,11
8930e036383ffff,수리·개인,7
8930e036383ffff,시설관리·임대,6
8930e036383ffff,예술·스포츠,1
8930e036383ffff,음식,11
8930e03638bffff,과학·기술,4
