h3_index,CSV_ADMI_CD,ADM_NM,GU_NM,avg_total_pop,daytime_pop,evening_pop,night_pop,peak_hour,peak_hour_pop,young_active_pop,h3_cells_in_dong,estimated_h3_pop,estimated_h3_daytime_pop,estimated_h3_evening_pop,estimated_h3_night_pop,pop_density_index,daytime_pop_index,evening_pop_index,night_pop_index,young_active_pop_index
8930e1d1ad3ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1da983ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1da9c7ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dad13ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1daca7ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dad57ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dad9bffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1da89bffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dac2bffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1da9abffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1da95bffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dad3bffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
8930e1dadc3ffff,11110560,평창동,종로구,17806.064962259177,16153.65453836088,17679.622435766756,19643.587848170773,4,19824.260615427,6471.212860048279,124,143.6,130.27,142.58,158.42,0.020187,0.015774,0.023639,0.024474,0.012907
