H3_ID,생활인구합계,FNB_Count,Parking_Count,Total_Spaces,RainPump_Count,Storage_Hub_Score,Elevation_Diff,Park_Count,Hiking_Count,Univ_Count,Delivery_HardToReach_Score,Apt_Count,Total_Households,Apt_Parking,OpenSpace_Count,Max_Building_Height,Avg_Building_Height,Building_Count,Optimal_Triangulation_Score,Is_Restricted,Is_Prohibited,Scen_1_No_Restrict,Scen_2_Only_Prohibited,Scen_3_All_Restricted
8930e1db3b7ffff,190.31192.24178.03204.56215.25215.99230.49215.28172.72214.18212.51203.47199.38199.55231.37235.37218.03219.84239.32235.55250.64241.86220.21226.4,1.0,0.0,0.0,0,6.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2,0.0,0.0,0,17.049092465540824,0,0,True,True,True
8930e1db3bbffff,51.3148.8746.745.644.5444.9846.8351.1563.6483.1699.75107.56115.31117.78119.5120.41119.36119.46120.114.82105.0892.1476.5365.89,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,11.46863586834533,0,0,True,True,True
8930e1db3c3ffff,3530.263507.813539.43556.973590.253641.173606.3705.864378.084879.975050.134834.715016.55126.825085.825031.324902.224468.543966.173510.153352.383323.713285.873312.41,35.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,36.333333333333336,3,12.696199954933068,0,0,True,True,True
8930e1db3c7ffff,126.5351.27123.2950.52121.5149.51120.4849.02120.849.17122.7150.19129.5954.16147.0662.03202.186.34**8.5517.8717.0221.6417.738.226.8239.8234.018.615.21154.9960.89140.9156.69,0.0,0.0,0.0,0,9.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3,0.0,0.0,0,13.733100009973992,0,0,True,True,True
8930e1db3cbffff,3113.543091.042984.872936.62944.772962.93051.523150.684027.015060.25305.075857.476192.35946.265483.245208.885174.755194.235183.794619.524249.453997.793696.853447.14,13.0,0.0,0.0,0,1.065,0.0,0.0,0.0,0.0,0.0,1.0,198.0,213.0,0,57.0,24.0,4,15.634522380218774,0,0,True,True,True
8930e1db3cfffff,1871.99624.24294.51837.48626.59309.611822.64617.82320.931776.71605.78328.671766.77605.78324.081705.03631.6311.91847.57638.11321.742101.58641.87303.122963.19680.61279.374423.88780.79277.834864.72842.66270.215073.22867.71278.465114.8821.63242.855176.05856.06198.45157.36849.14224.715176.77816.05211.935000.75872.54223.624949.5872.39181.884382.42867.1177.373685.91765.01195.913140.5725.15206.782794.36675.14218.212480.4609.42228.192262.78631.79272.71,12.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0,31.0,1,14.663391309795944,0,0,True,True,True
8930e1db3d3ffff,2116.12113.452125.762146.962104.992147.892093.82074.031861.021537.481438.761372.921369.291287.051314.281424.781441.1516.751610.291729.251796.481936.921985.892094.44,4.0,0.0,0.0,0,6.45,0.0,0.0,0.0,0.0,0.0,1.0,1215.0,1290.0,0,59.0,58.5,2,12.91108356892305,1,0,True,True,False
8930e1db3d7ffff,391.0255.55129.4858.36372.5354.16138.3157.51356.1153.37148.9156.4353.52.9146.55.81375.1953.02146.0655.98376.3653.89157.0557.14390.6856.93190.7161.66436.764.57284.8170.63620.7488.74589.0698.32627.98120.171038.1128.25695.87131.21206.52138.51714.57136.11236.61143.78867.61137.251263.08147.65818.18139.191317.54148.79817.64140.591373.68147.41799.04139.851361.11146.36751.28136.221321.7142.8607.94130.881192.64136.31518.05118.83986.49122.81398.5498.48591.5899.79442.0685.42388.8485.89404.6176.13307.0176.75411.2868.08218.9769.36385.661.88161.2664.56,5.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,58.0,58.0,1,10.283443776527207,1,0,True,True,False
8930e1db3dbffff,1812.611811.231796.211792.371804.951860.932095.652312.412651.192987.623237.233538.793808.033461.573318.923246.33253.753311.53469.793377.62841.922466.292163.432028.32,19.0,0.0,0.0,0,1.12,0.0,0.0,0.0,0.0,0.0,1.0,216.0,224.0,0,81.0,45.333333333333336,3,15.910950344722716,1,0,True,True,False
8930e1db40bffff,61.9665.2761.365.2160.5164.8159.7664.6459.764.1560.4964.1861.9965.5165.5872.8518.1418.8423.4627.5914.3414.3415.0421.4519.5316.913.6181.885.994.4372.0774.44*5.21,0.0,0.0,0.0,0,6.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2,0.0,0.0,0,15.036047510958946,1,0,True,True,False
8930e1db40fffff,35.1134.7334.2833.8533.8334.2535.137.1742.447.3649.8350.9552.1651.952.352.8551.5950.849.3146.3243.7140.8238.2437.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,11.142279081108457,1,0,True,True,False
8930e1db41bffff,64.677.42128.9216.5163.987.35128.7216.5163.167.23127.9216.462.397.14127.6416.3562.297.16126.7416.2563.17.24126.7716.2364.697.44129.3916.5668.457.88143.9218.4278.098.97179.3722.9487.2410.04213.427.3491.8610.56223.8828.793.8710.78224.8228.896.111.04225.4228.8795.6210.98225.1128.896.3211.07224.7128.7997.3411.17225.3328.8695.110.91223.5528.693.5910.76215.5527.5990.8310.45196.9825.2485.399.81169.8621.7780.59.24153.9519.775.228.65147.0318.8370.438.11137.8717.6868.247.85134.8217.3,0.0,0.0,0.0,1,13.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,0.0,0.0,0,17.82307675548572,1,0,True,True,False
8930e1db423ffff,7.277.046.956.896.987.167.799.5213.6718.3920.8421.7621.9922.3722.8822.7722.1821.218.5314.5111.9910.49.128.31,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,9.19984219851298,1,0,True,True,False
8930e1db427ffff,30.4729.6529.2228.9729.3130.1632.8540.0757.5277.3787.6291.6992.4294.1196.2895.8293.3189.2577.9161.1250.4543.7438.3135.17,1.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,0.0,0.0,0,9.855987563890164,1,0,True,True,False
8930e1db437ffff,36.9935.9635.4535.235.5336.639.8448.6169.8393.88106.28111.24112.15114.21116.88116.26113.18108.2594.5174.1661.2453.0646.5242.7,0.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,0.0,0.0,0,10.283925644552994,1,0,True,True,False
8930e1db443ffff,8.772073.388.772109.998.772160.158.772215.358.772231.888.772263.784.352133.344.391995.724.51700.984.571406.14.641243.171168.331120.651130.421137.351184.14.681224.364.641266.424.571462.874.51591.688.991717.988.911870.448.841944.798.771978.34,1.0,0.0,0.0,0,4.995,10.0,0.0,0.0,0.0,20.0,3.0,897.0,999.0,0,94.0,50.333333333333336,3,21.242881281291382,1,0,True,True,False
